,id,name,is_supplier,is_customer,email,phone
0,b422b740-54e0-405f-94fc-f5dd32b55e91,Frozen King,False,False,,
1,d7d2b5fc-32e7-4011-94a4-2c8aa0ff9e4f,Cindarella,False,True,,
2,e0857d09-69cc-4608-83b8-7e2083e678a3,Maleficent,True,True,,
3,8e81fbc4-4f33-4ae9-bf5e-a2415372e77b,Snow White,False,True,,
4,94589e82-ecdf-4c7b-9896-f5e54b8d95af,Ariel new,False,True,ariel@mail.com,
5,a278f53a-57ab-4f50-8690-182a5c60d671,Jasmine,False,True,,
6,d9bcb374-807b-4b4c-a1da-742a152fe917,Tinkerbell,False,True,,
7,bc9725f8-7e23-44cc-8112-a8f757208369,Captain Hook,True,True,,
8,354e3d00-a644-44e2-84b1-5f7ca24b3233,Thomas Training,False,True,,
9,e2111283-b230-4bb7-8108-518ef4dfd9fa,Alice,False,True,,
10,cf2b417f-352e-486f-a5e0-a32cbbfa0826,Mrs Potts,False,True,,
11,48021727-d93c-480f-aa9c-ec711afa4868,Ele Kyriazis,False,True,,
12,86c921ae-05e9-46d2-a417-f7dd16f884be,Michelle Mitchell,False,True,,
13,354b1d99-f6cd-4f4a-8955-f3fbd554423a,Anna Frozen 2,False,False,frozen@mail.com,
14,d5e33d35-d8db-49f3-8dd1-c1a531721782,Aladdinn,False,False,aladdinn@disney.com,
15,9b72dced-a3eb-4446-b09a-afadfe657b66,Aladdin,False,True,aladdin@disney.com,
16,a9797cb2-4805-4528-bbcb-fdb94368bee6,Anna Frozen 1,False,True,frozen@mail.com,
17,8f65adab-5f53-402a-a2ee-31d458304705,Elsa Frozen,False,True,,
18,ffb145b0-8504-42da-b03d-4c4a573fd521,Ariel,False,True,ariel@mail.com,
19,31b86361-378a-47ef-9d43-25218e06ced3,Judy Hopps,False,True,,
20,a3b7040d-4a3b-4106-82e4-f382979ff77b,Hans Prince,True,False,,
21,89ea79cb-a445-4720-8368-b0887f4157bb,Lumiere Electricity,True,False,,
22,1e6ba27d-e209-4b30-8894-8e1190c391e4,Step Mother,True,False,,
23,1430511a-f15f-435e-901a-1801064b76c2,Jafar Bank,True,False,,
24,7385a88a-9e63-4a8d-b931-616baa7ebb15,Gaston Advertising,True,False,,
25,6f9f06c8-2a9e-4b02-86f2-58b00f227e5a,Sir Miles Axlerod,True,False,,
26,28e4dba4-d4bd-4cd0-9a2d-7fab94536d4e,Iago Cake,True,False,,
27,763190a0-8e54-4082-ad28-4b25aaf3b31d,Dawn Bellwether,True,False,,
28,1e6f39b7-de54-4df7-aa60-ce090fb54705,Elle Elves,True,False,,
29,273eb8ed-cc9a-4f69-bc0b-fe80c1c37cd4,Grumpy,True,False,,
30,0c9af104-858d-44bc-aeba-ba3b4e6b9d5d,Claude Frollo,True,False,,
31,2ef70219-eed4-4d6b-a152-5885e7024b49,Shere Khan,True,False,,
32,631dbdc8-94f5-4cb9-a9bd-9707873d0581,Potato man,True,False,,
33,ed0c58ac-1aa4-41c0-a204-8dc5bc69ad8e,Scar Enterprises,True,False,,
34,c7060a16-02ba-4029-ab85-4369caa9f18a,Gastonia,True,False,,
35,44aaffac-d0ee-497f-85d3-1bab5daa8f2b,Bashful,True,False,,
36,8a6e1df3-67b0-4fc8-ae55-01cc3fc9fa09,Guido,True,False,,
37,0df15899-fae7-43f6-84ca-c23c1d71aaec,Ursula,True,False,,
